source	title	description	url	publishedAt	content	coder 1	movie 1	topic 1	coder 2	movie 2	topic 2	Flag for checks		resolution movie	resolution topic	final movie	final topic
Biztoc.com	Taylor Swift Stuns in Silver at Beyoncé’s ‘Renaissance’ Film London Premiere	Best believe she’s still bejeweled! Taylor Swift joined the glitzy fun at Beyoncé’s London premiere for her Renaissance: A Film by Beyonce on Thursday (Nov. 30). The “Anti-Hero” superstar posed on the red carpet and snapped selfies with fans while wearing a g…	https://biztoc.com/x/65455ad18a02588f	2023-11-30T20:18:07Z	Best believe shes still bejeweled! Taylor Swift joined the glitzy fun at Beyoncés London premiere for her Renaissance: A Film by Beyonce on Thursday (Nov. 30).The Anti-Hero superstar posed on the red… [+321 chars]	Tristan	Renaissance	Promo	Nolin	Renaissance	Promo					Renaissance	Promo
The Atlantic	Hayao Miyazaki Is Thinking About the End	The Boy and the Heron, which could be the Studio Ghibli co-founder’s final film, is more of a bold reinvention than a somber farewell.	https://www.theatlantic.com/culture/archive/2023/12/the-boy-and-the-heron-review/676283/?utm_source=feed	2023-12-08T17:26:54Z	The first sound in Hayao Miyazaki’s new movie, The Boy and the Heron, is an air-raid siren, heard over a screen of black that quickly explodes into tumult and destruction. It’s 1943, and a firebombin… [+4648 chars]	Tristan	NM		Nolin	NM						NM	
/FILM	Will There Be A Sequel To The Blackening? Sounds Like Another Killer's On The Loose	A sequel to The Blackening is officially in development and will emulate the approach of franchises like Scream and Scary Movie.	https://www.slashfilm.com/1452186/will-there-be-a-sequel-to-the-blackening/	2023-11-26T18:45:34Z	It appears as though another killer is on the loose, now that a sequel to "The Blackening" is officially moving forward.  In a year that's seen many a high-profile box office bomb (and not just the … [+1463 chars]	Tristan	NM		Nolin	NM						NM	
/FILM	Imaginary — Release Date, Cast, Plot And More Info	The upcoming Blumhouse movie Imaginary gives us a teddy bear neamed Chauncey and so much more. Here&amp;#39;s what we know so far about the film.	https://www.slashfilm.com/1457569/imaginary-release-date-cast-plot-more-info/	2023-12-03T12:00:51Z	There is not a more dependable movie genre in 2023 than horror. They can be made quickly and cheaply, starring up-and-coming teens and twenty-somethings, with the occasional appearance from a B-list … [+1508 chars]	Tristan	NM		Nolin	NM						NM	
GameSpot	The Marvels Has The Worst MCU Box Office Debut Ever	Captain Marvel might be the most powerful Avenger, but that didn't help the superhero's sequel at the box office. The Marvels just opened with the worst start ever for the MCU by pulling in $47 million domestically--$110.3 total when adding in international m…	https://www.gamespot.com/articles/the-marvels-has-the-worst-mcu-box-office-debut-ever/1100-6519110/	2023-11-13T14:31:00Z	Captain Marvel might be the most powerful Avenger, but that didn't help the superhero's sequel at the box office. The Marvels just opened with the worst start ever for the MCU by pulling in $47 milli… [+1842 chars]	Juan	Marvels	Box	Michael	Marvels	Box					Marvels	Box
TechRadar	Five Nights at Freddy’s wild success might mean more movies hit streaming and theaters the same day	Simultaneous streaming didn't hurt ticket sales for the FNAF film: Blumhouse's movie is the studio's biggest-grossing picture to date.	https://www.techradar.com/streaming/five-nights-at-freddys-wild-success-might-mean-more-movies-hit-streaming-and-theaters-the-same-day	2023-11-28T17:12:30Z	Five Nights At Freddy's, the film of the popular gaming franchise, could have an impact beyond giving audiences some good scares. The film was released to streaming on Peacock at the same time as it … [+3204 chars]	Juan	FNAF	Box/Streaming	Michael	FNAF	Box	they mention both at the same time so idk (i'd maybe prioritize box office)		FNAF	Box	FNAF	Box
Deadline	Hayao Miyazaki’s ‘The Boy And The Heron’ Soars To $2M+ Previews, Eyes $10M+ Opening – Box Office	After one Japanese title delivered at the sleepy December box office last weekend, that being Godzilla Minus One, here’s another that’s set to dominate: Studio Ghibli and GKIDS’ Hayao Miyazaki’s The Boy and the Heron which is looking at a No. 1 lead with $10M…	https://deadline.com/2023/12/box-office-boy-and-the-heron-beyonce-renaissance-1235658395/	2023-12-08T15:42:50Z	After one Japanese title delivered at the sleepy December box office last weekend, that being Godzilla Minus One, here’s another that’s set to dominate: Studio Ghibli and GKIDS’ Hayao Miyazaki‘s The … [+1301 chars]	Juan	NM		Michael	Godzilla	Box	they mention gozilla but not really topic of the article		Godzilla	Box	Godzilla	Box
Forbes	Box Office Woes: ‘Hunger Games,’ ‘Trolls’ And ‘The Marvels’ On Pace For Lowest Grosses In Franchise History	“The Hunger Games: The Ballad of Songbirds and Snakes” grossed $5.75 million in its U.S. preview, and its odds of matching its predecessors’ strong openings are not in its favor.	https://www.forbes.com/sites/brianbushard/2023/11/17/box-office-woes-hunger-games-trolls-and-the-marvels-on-pace-for-lowest-grosses-in-franchise-history/	2023-11-17T20:56:50Z	The Hunger Games: The Ballad of Songbirds and Snakes grossed $5.75 million in its domestic previews, Deadline and Variety reported, putting the long-awaited prequel on pace for the movie franchises w… [+3166 chars]	Juan	HG, Trolls, Marvels	Box	Michael	HG, Trolls, Marvels	Box					HG, Trolls, Marvels	Box
Windows Central	The best Cyber Monday TV streaming deals make it cheaper to watch your favorite shows and movies 2023	As part of Cyber Monday, several streaming services are offering insane discounts. Here are the best streaming deals going on now.	https://www.windowscentral.com/software-apps/best-cyber-monday-tv-streaming-deals-roundup	2023-11-26T22:43:23Z	Thanks to all of the Cyber Monday deals going on right now many of the best streaming services are offering subscriptions at seriously discounted prices from usual. Each service offers a different ra… [+3227 chars]	Juan	NR		Michael	NR						NR	
Los Angeles Times	Don't know Lily Gladstone? The 'Killers of the Flower Moon' star is no newcomer	The Indigenous actor is a strong contender for a lead actress Oscar nomination.	https://www.latimes.com/entertainment-arts/awards/story/2023-11-28/killers-of-the-flower-moon-lily-gladstone	2023-11-28T12:30:28Z	Lily Gladstone, who plays an Osage Nation member married to a white criminal (Leonardo DiCaprio), provides an emotional center for director Martin Scorseses 3½-hour film Killers of the Flower Moon an… [+1583 chars]	Juan	KOTFM	Plot	Michael	KOTFM	Plot	more the "performance" part				KOTFM	Plot
Biztoc.com	PGA Awards: Martin Scorsese Tapped for David O. Selznick Award in Recognition of Producing Achievements	Martin Scorsese, the legendary filmmaker currently generating awards buzz for his Apple film Killers of the Flower Moon, has been tapped by the Producers Guild of America to receive the David O. Selznick Achievement Award, which recognizes producers for their…	https://biztoc.com/x/4494b51f76c04816	2023-12-07T20:34:13Z	Martin Scorsese, the legendary filmmaker currently generating awards buzz for his Apple film Killers of the Flower Moon, has been tapped by the Producers Guild of America to receive the David O. Selz… [+320 chars]	Juan	NR		Michael	KOTFM	Awards			KOTFM	Awards	KOTFM	Awards
Screen Rant	10 Awesome Cameos In 2023 Movies (Did You Spot Them All?)	2023 was a great year for cinema, producing some incredible movies and some highly memorable cameo performances – many of which were very surprising.	https://screenrant.com/great-2023-movie-cameos/	2023-12-08T15:20:16Z	Summary <ul><li> Cameos add surprise and excitement to movies, even elevating weaker films with the right actor. </li><li> 2023 had a variety of enjoyable cameo appearances across different genres a… [+8672 chars]	Juan	NM		Michael	NM						NM	
Bleeding Cool News	Beyonce Wins The Weekend Box Office With Renaissance Concert Film	Beyonce took over the winter box office, much like Taylor Swift did in the fall this weekend. Her Renaissance concert film scored $22 million to win the weekend. Usually, the first weekend of December is pretty anemic at theaters, but not this year. This also…	https://bleedingcool.com/movies/beyonce-wins-the-weekend-box-office-with-renaissance-concert-film/	2023-12-04T18:47:08Z	Posted in: Box Office, Movies | Tagged: beyonce, Godzilla Minus One, Weekend Box Office Beyonce won the Weekend Box Office with her Renaissance Tour film, helping kick off December in a really big w… [+2114 chars]	Juan	Renaissance	Box	Michael	Renaissance	Box					Renaissance	Box
Screen Rant	How To Watch Trolls Band Together	The latest installment of the Trolls movies is set to release this year; here is everything you need to know about how to watch Trolls Band Together.	https://screenrant.com/how-to-watch-trolls-band-together/	2023-11-13T17:50:18Z	Summary <ul><li>Trolls Band Together releases in theaters on November 17, 2023, in the U.S. and Canada, following successful releases in Europe, Brazil, and Mexico. </li><li> The film is expected to… [+3664 chars]	Juan	Trolls	Streaming	Michael	Trolls	Streaming					Trolls	Streaming
MobileSyrup	Martin Scorsese’s Killers of the Flower Moon hits digital on December 5	Killers of the Flower Moon hits digital premium on demand (PVOD) platforms on December 5th. The critically-acclaimed original film opened in theatres on October 20th. An Apple TV+ premiere date has not yet been confirmed. Killers of the Flower Moon is a 2023 …	https://mobilesyrup.com/2023/12/04/killer-of-the-flower-moon-digital-release-december-5/	2023-12-04T22:55:44Z	Killers of the Flower Moon hits digital premium on demand (PVOD) platforms on December 5th. The critically-acclaimed original film opened in theatres on October 20th. An Apple TV+ premiere date has n… [+660 chars]	Juan	KOTFM	Streaming	Michael	KOTFM	Streaming					KOTFM	Streaming
Deadline	‘Wish’ To Rise Disney Animation’s Star Over Thanksgiving With $75M Global Opening; ‘Napoleon’ Charges For $46M WW – Box Office Preview	Disney original animation is looking at a comeback this Thanksgiving with the princess pic Wish with as much as $45M-$50M over 5-days after suffering a setback over last year’s holiday with Strangeworld which did $18.8M. With the strikes over, and Thanksgivin…	https://deadline.com/2023/11/wish-napoleon-box-office-thanksgiving-projection-1235630318/	2023-11-20T23:31:46Z	Disney original animation is looking at a comeback this Thanksgiving with the princess pic Wishwith as much as $45M-$50M over 5-days after suffering a setback over last year’s holiday with Strangewor… [+4215 chars]	Juan	Wish, Napoleon	Box	Michael	Wish, Napoleon	Box					Wish, Napoleon	Box
The A.V. Club	Godzilla turns pink and Kong gets a robo-arm (and a baby) in the first trailer for The New Empire	We’re living in a Godzilla renaissance at the moment, with everyone’s favorite lizard showing up on Apple TV+ and a very buzzy new movie out of Japan, and in case you ever needed a very clear example of the different ways that Japanese filmmakers and western …	https://www.avclub.com/godzilla-x-kong-the-new-empire-trailer-1851069391	2023-12-03T22:41:00Z	Were living in a Godzilla renaissance at the moment, with everyones favorite lizard showing up on Apple TV+ and a very buzzy new movie out of Japan, and in case you ever needed a very clear example o… [+1412 chars]	Juan	NM		Michael	NM		not about Minus One				NM	
Screen Rant	Godzilla Minus One Ending Explained	Godzilla Minus One featured a few twists that require explaining, along with where all of the characters wound up at the end of the action.	https://screenrant.com/godzilla-minus-one-ending-explained/	2023-12-01T17:45:21Z	Summary <ul><li> Godzilla Minus One's ending leaves room for a sequel, with the regenerating flesh sinking into the sea hinting at the possibility of a new Godzilla evolving. </li><li> Noriko, previ… [+12909 chars]	Juan	Godzilla	Plot	Michael	Godzilla	Plot					Godzilla	Plot
Forbes	‘The Marvels’ Tallies Only $21.5 Million At Box Office On Opening Day Despite $220 Million Budget, Report Says	The movie is projected to deliver the worst weekend box office debut in Marvel Cinematic Universe history.	https://www.forbes.com/sites/antoniopequenoiv/2023/11/11/the-marvels-tallies-only-215-million-at-box-office-on-opening-day-despite-220-million-budget-report-says/	2023-11-11T17:50:05Z	The Marvels, the 33rd movie in the Disney-owned Marvel Cinematic Universe, is shaping up to have the lowest box office opening weekend ever for an MCU movie, according to multiplereports, with Variet… [+2977 chars]	Juan	Marvels	Box	Michael	Marvels	Box					Marvels	Box
Forbes	‘The Marvels’ Tallies Only $21.5 Million On Box Office Opening Day Despite $220 Million Budget, Report Says	The movie is projected to deliver the worst weekend box office debut in Marvel Cinematic Universe history.	https://www.forbes.com/sites/antoniopequenoiv/2023/11/11/the-marvels-tallies-only-215-million-on-box-office-opening-day-despite-220-million-budget-report-says/	2023-11-11T17:50:05Z	The Marvels, the 33rd movie in the Disney-owned Marvel Cinematic Universe, is shaping up to have the lowest box office opening weekend ever for an MCU movie, according to multiplereports, with Variet… [+2977 chars]	Juan	Marvels	Box	Michael	Marvels	Box	duplicate of above				Marvels	Box
Bleeding Cool News	Two For The Money: New Heist Thriller Heads To Apple After Bidding War	Apple continues to take on bigger projects even as 2023 ends with Killers of the Flower Moon and Napoleon both doing all right. While neither of them lit the box office on fire, the numbers they pulled in would make a studio like Apple happy, and it was more …	https://bleedingcool.com/movies/two-for-the-money-new-heist-thriller-heads-to-apple-after-bidding-war/	2023-12-08T21:47:11Z	Posted in: Apple, Movies | Tagged: apple, charlize theron, daniel craig, justin lin, two for the money Apple has won a bidding war for a heist thriller called Two for the Money. It will star Charliz… [+2583 chars]	Juan	KOTFM, Napoleon	Box	Michael	KOTFM, Napoleon	Box					KOTFM, Napoleon	Box
Boston Herald	Review: ‘The Hunger Games: The Ballad of Songbirds & Snakes’ is a prequel for pre-sold fans only	Like its title, the film takes its sweet time getting where it’s going, writes critic Michael Philips.	https://www.bostonherald.com/2023/11/15/review-the-hunger-games-the-ballad-of-songbirds-snakes-is-a-prequel-for-pre-sold-fans-only/	2023-11-15T20:59:25Z	Michael Phillips | Chicago Tribune (TNS) Like its title, The Hunger Games: The Ballad of Songbirds &amp; Snakes takes its sweet time getting where its going. Seriously, I wouldve gone with just song… [+4134 chars]	Juan	HG	Plot	Michael	HG	Plot					HG	Plot
Screen Rant	Killers Of The Flower Moon Box Office Crosses Worldwide Milestone Despite Dropping Out Of US Top 10	Killers of the Flower Moon's box office crosses a major milestone despite dropping out of the Top 10 in the US over the Thanksgiving weekend.	https://screenrant.com/killers-flower-moon-global-box-office-milestone/	2023-11-27T18:56:44Z	Summary <ul><li> Despite dropping out of the Top 10 in the US, Killers of the Flower Moon has crossed the $150 million milestone at the worldwide box office. </li><li> The movie, produced on a massi… [+2716 chars]	Juan	KOTFM	Box	Michael	KOTFM	Box					KOTFM	Box
CBR - Comic Book Resources	Godzilla Minus One Debuts With Perfect Rotten Tomatoes Score	Some critics are saying Godzilla Minus One is one of the King of the Monsters' best movies yet.	https://www.cbr.com/godzilla-minus-one-rotten-tomatoes/	2023-11-16T20:43:10Z	Early reviews for Godzilla Minus One are declaring the film to be among the best Godzilla movies ever made. On Rotten Tomatoes, the aggregated score of every approved critic's review submitted thus … [+2372 chars]	Juan	Godzilla	Plot	Michael	Godzilla	Plot					Godzilla	Plot
Vanity Fair	Martin Scorsese Breaks Down the Cinematography of ‘Killers of the Flower Moon’	The legendary director and his longtime D.P., Rodrigo Prieto, reflect on the complex methods and fascinating inspirations behind five key scenes from Killers of the Flower Moon.	https://www.vanityfair.com/hollywood/2023/11/martin-scorsese-killers-of-the-flower-moon-shot-list-awards-insider	2023-11-20T18:04:49Z	Mollies family has been systematically murdered over the films first half, a process that culminates in the death of her last remaining sister, Reta (JaNae Collins). Her house is blown up in an attac… [+1896 chars]	Juan	KOTFM	Prod	Michael	KOTFM	Prod					KOTFM	Prod
The A.V. Club	All The Marvels Easter eggs and references explained	For better or worse, a certain level of fluency in the ever-expanding tapestry of the Marvel Cinematic Universe is required by The Marvels. While the film—which brings together Captain Marvel’s Carol Danvers (Brie Larson), WandaVision’s Monica Rambeau (Teyona…	https://www.avclub.com/the-marvels-easter-eggs-movie-explained-1851008620	2023-11-13T14:00:00Z	For better or worse, a certain level of fluency in the ever-expanding tapestry of the Marvel Cinematic Universe is required by The Marvels. While the filmwhich brings together Captain Marvels Carol D… [+10139 chars]	Juan	Marvels	Plot	Michael	Marvels	Plot					Marvels	Plot
The A.V. Club	The Marvels raises the question: How many times is Marvel going to tease us with [REDACTED]?	[This story contains big, massive, obvious spoilers for The Marvels. You’ve been warned!]Read more...	https://www.avclub.com/the-marvels-raises-the-question-how-many-times-is-marv-1851013483	2023-11-11T02:36:00Z	[This story contains big, massive, obvious spoilers for The Marvels. Youve been warned!] Nia DaCostas The Marvels opens in theaters this weekend, bringing together Brie Larson, Teyonah Parris, and I… [+2656 chars]	Juan	Marvels	Plot	Michael	Marvels	Plot					Marvels	Plot
ComingSoon.net	Interview: Godzilla Minus One Director & Star Talk Kaiju and ‘Dark Hope’	ComingSoon Senior Editor Spencer Legacy spoke with Godzilla Minus One director Takashi Yamazaki and star Ryunosuke Kamiki about the kaiju movie. The duo spoke about portraying Godzilla as an unstoppable force and how the script changed over the three years it…	https://www.comingsoon.net/movies/features/1400770-interview-godzilla-minus-one-director-star-talk-kaiju-and-dark-hope	2023-12-01T18:00:00Z	ComingSoon Senior Editor Spencer Legacy spoke with Godzilla Minus One director Takashi Yamazaki and star Ryunosuke Kamiki about the kaiju movie. The duo spoke about portraying Godzilla as an unstoppa… [+5239 chars]	Juan	Godzilla	Promo	Michael	Godzilla	Promo					Godzilla	Promo
Screen Rant	"Not Bigger Than History": Killers Of The Flower Moon Star Responds To Criticism Over Movie's Focus	Killers of the Flower Moon star Lily Gladstone responds to criticism over the film telling the Osage story through Ernest Burkhart's perspective.	https://screenrant.com/killers-of-the-flower-moon-star-criticism-response/	2023-11-17T16:33:17Z	Summary <ul><li> Gladstone acknowledges and validates the criticism of Killers of the Flower Moon for telling the story from a non-Osage perspective. </li><li> The film's perspective has sparked con… [+4137 chars]	Juan	KOTFM	Plot	Michael	KOTFM	Plot	it's an actor's response to criticism/review				KOTFM	Plot
Rolling Stone	‘SNL’: Timothée Chalamet as Wonka Sings About End of Actors’ Strike	‘Saturday Night Live’ host channeled his upcoming Willy Wonka by singing about AI and the end of the actors’ strike to the tune “Pure Imagination.”	https://www.rollingstone.com/tv-movies/tv-movie-news/snl-timothee-chalamet-sings-wonka-monologue-actors-strike-end-ai-1234876054/	2023-11-12T05:14:08Z	Live from New York on Saturday night, Timothée Chalamet took the stage as host of Saturday Night Live and, during his opening monologue, celebrated how the union SAG-AFTRA reached a deal with the Hol… [+2016 chars]	Juan	NR		Michael	NM				NM		NM	
The New Yorker	The Makeup Artist Behind Bradley Cooper’s Prosthetic Nose	A profile of the Oscar-winning effects artist Kazu Hiro, who has worked on films including “Maestro,” “Bombshell,” “Darkest Hour,” and “The Curious Case of Benjamin Button.” Hua Hsu reports.	https://www.newyorker.com/magazine/2023/12/04/the-makeup-artist-behind-bradley-coopers-prosthetic-nose	2023-11-27T11:00:00Z	Artistic restlessness was merely part of a larger malaise he was feeling. Hiro describes the time an effects artist and an actor spend together as akin to a short-term relationship. In 1999, he worke… [+6999 chars]	Juan	NR		Michael	NM				NM		NM	
ComingSoon.net	Godzilla Minus One Is Highest Grossing Live-Action Japanese Movie in North America	The success of Godzilla Minus One continues to grow as the film has recently become the highest-grossing live-action Japanese film ever in North America. The film, which is now sitting at $14.36 million at the box office (via Deadline), edges it just over the…	https://www.comingsoon.net/movies/news/1431478-godzilla-minus-one-is-highest-grossing-live-action-japanese-movie-in-north-america	2023-12-07T19:01:43Z	The success of Godzilla Minus One continues to grow as the film has recently become the highest-grossing live-action Japanese film ever in North America.  The film, which is now sitting at $14.36 mi… [+1219 chars]	Juan	Godzilla	Box	Michael	Godzilla	Box					Godzilla	Box
International Business Times	'Hunger Games' Still Tops In N.America After 'Napoleon' Invades	The "Hunger Games" prequel stayed atop the North American box office over the long US Thanksgiving weekend, fending off an invasion by new Ridley Scott film "Napoleon," industry watcher Exhibitor Relations reported Sunday.	https://www.ibtimes.com/hunger-games-still-tops-namerica-after-napoleon-invades-3719429	2023-11-26T18:45:31Z	The "Hunger Games" prequel stayed atop the North American box office over the long US Thanksgiving weekend, fending off an invasion by new Ridley Scott film "Napoleon," industry watcher Exhibitor Rel… [+2518 chars]	Juan	HG, Napoleon	Box	Michael	HG, Napoleon, Wish, KOTFM	Box			HG, Napoleon	Box	HG, Napoleon	Box
Instapundit.com	QUESTION ASKED: When you Wish upon a star: is the Disney shine fading? This isn’t so far from wha	QUESTION ASKED: When you Wish upon a star: is the Disney shine fading? This isn’t so far from what Apple have done with Napoleon and Killers of the Flower Moon, namely using the theatrical release as a preview for what will eventually be a prestigious part of…	https://instapundit.com/619328/	2023-11-29T13:35:59Z	This isnt so far from what Apple have done with Napoleon and Killers of the Flower Moon, namely using the theatrical release as a preview for what will eventually be a prestigious part of their Apple… [+2073 chars]	Juan	KOTFM, Napoleon	Plot	Michael	Wish, Napoleon, KOTFM	Plot			Wish, Napoleon, KOTFM	Plot	Wish, Napoleon, KOTFM	Plot
Screen Rant	Martin Scorsese Details How Killers Of The Flower Moon Had A Very Different Opening Scene	Director Martin Scorsese details how Killers of the Flower Moon originally had a very different opening scene involving the Oklahoma land rush.	https://screenrant.com/killers-flower-moon-opening-scene-different-martin-scorsese/	2023-11-16T04:37:25Z	Summary <ul><li> Martin Scorsese originally planned for Killers of the Flower Moon to open with a scene depicting the Oklahoma land rush. </li><li> Changing the perspective of the film led to a new … [+3821 chars]	Juan	KOTFM	Promo	Michael	KOTFM	Plot			KOTFM	Plot	KOTFM	Plot
IndieWire	John Woo Prefers ‘Real Cinema’ Over Superheros, but ‘There Aren’t Many Movies Like That Lately’	"I like old-fashioned movies, you know?" the "Face/Off" director said.	https://www.indiewire.com/news/general-news/john-woo-prefers-real-cinema-like-scorsese-over-superhero-movies-1234928039/	2023-11-20T18:00:00Z	John Woo may be one of the masters of action movies, but even he cannot get behind the special effects of the MCU.  The “Face/Off” director told The New Yorker that he refuses to watch superhero mov… [+2246 chars]	Juan	NM		Michael	NM						NM	
IndieWire	‘The Settlers’ Trailer: Chile’s Oscar Entry Is One of the Year’s Best First Films	Felipe Gálvez delivers an extraordinary debut with a Western that goes in some very unexpected directions.	https://www.indiewire.com/news/trailers/the-settlers-trailer-chile-oscar-submission-1234932836/	2023-12-07T14:00:00Z	There was no doubt in any IndieWire editor’s mind when selecting our list of the Best First Films of 2023: Felipe Gálvez’s “The Settlers” had to be on there. The otherworldly Western, which Mubi is o… [+2009 chars]	Juan	NR		Michael	NM		NR should be used for stuff unrelated to movies no?		NM		NM	
Just Jared	‘Renaissance: A Film By Beyonce’ Opening Weekend Box Office Numbers Revealed!	Renaissance: A Film By Beyoncé is a hit! Beyoncé‘s concert film, which was written, directed and produced by Beyoncé, topped the domestic box office with $21 million in its opening weekend, slightly ahead of expectations, via Variety on Sunday (December 3). I…	https://www.justjared.com/2023/12/03/renaissance-a-film-by-beyonce-opening-weekend-box-office-numbers-revealed/	2023-12-03T17:55:13Z	Renaissance: A Film By Beyoncéis a hit! Beyoncé‘s concert film, which was written, directed and produced by Beyoncé, topped the domestic box office with $21 million in its opening weekend, slightly … [+959 chars]	Juan	Renaissance	Box	Michael	Renaissance	Box					Renaissance	Box
IndieWire	Martin Scorsese and Steven Spielberg Are Exec Producing a ‘Cape Fear’ Series	Nick Antosca ("Candy," "The Act") is creating the show that is currently fielding offers from several potential buyers.	https://www.indiewire.com/news/breaking-news/cape-fear-series-martin-scorsese-steven-spielberg-1234928720/	2023-11-21T21:08:57Z	Martin Scorsese and Steven Spielberg are heading back to Cape Fear.  The two legendary directors are executive producing a new “Cape Fear” series currently in development, IndieWire has confirmed; o… [+1971 chars]	Juan	NR		Michael	NR						NR	
IndieWire	The 2023 New York Film Critics Circle Awards Voting Has Begun (Updating Live)	Follow along as the prestigious awards body honors its picks for the best in cinema of 2023.	https://www.indiewire.com/awards/results/2023-new-york-film-critics-circle-awards-nyfcc-winners-list-1234930653/	2023-11-30T15:05:00Z	Voting for the 89th New York Film Critics Circle Awards is underway and throughout the day today we’ll find out the results. The NYFCC winners list is one of the most anticipated in the awards season… [+1844 chars]	Juan	NM		Michael	NM						NM	
Variety	China Box Office: ‘Napoleon’ Defeated in Middle Kingdom Campaign, Opens in Fifth Place	Ridley Scott’s historical epic “Napoleon” was cruelly defeated at the mainland Chinese box office, where it opened in only fifth place on its opening weekend. Chinese crime thriller “Across the Furious Sea” headed the mainland China charts for a second weeken…	https://variety.com/2023/film/news/china-box-office-napoleon-defeated-1235820135/	2023-12-04T03:49:21Z	Ridley Scott’s historical epic “Napoleon” was cruelly defeated at the mainland Chinese box office, where it opened in only fifth place on its opening weekend. Chinese crime thriller “Across the Furi… [+2300 chars]	Juan	Napoleon	Box 	Michael	Napoleon	Box					Napoleon	Box 
Deadline	Contenders Film: Los Angeles Kicks Off Today Spotlighting 28 Awards-Season Movies	Deadline’s Contenders Film: Los Angeles kicks off Saturday morning at 8:30 a.m. PT spotlighting 28 movies, with panel discussions featuring cast and creatives from this awards season’s most talked-about films, including actors scheduled to return to post-stri…	https://deadline.com/2023/11/2023-contenders-film-los-angeles-livesetream-lineup-schedule-1235601163/	2023-11-18T16:00:00Z	Deadline’s Contenders Film: Los Angeles kicks off Saturday morning at 8:30 a.m. PT spotlighting 28 movies, with panel discussions featuring cast and creatives from this awards season’s most talked-ab… [+6952 chars]	Juan	NM		Michael	NM						NM	
The A.V. Club	Timothée Chalamet celebrates the end of the SAG-AFTRA strike in SNL monologue	Timothée Chalamet returned to Saturday Night Live last night for the show’s first episode since the end of the SAG-AFTRA strike, meaning hosts no longer have to dance around who they are and why they’re there so they don’t look like scabs, and Chalamet celebr…	https://www.avclub.com/timothee-chalamet-snl-monologue-sag-aftra-strike-1851015428	2023-11-12T17:39:00Z	Timothée Chalamet returned to Saturday Night Livelast night for the shows first episode since the end of the SAG-AFTRA strike, meaning hosts no longer have to dance around who they are and why theyre… [+2534 chars]	Juan	NR		Michael	NM				NM		NM	
Screen Rant	10 Longest Martin Scorsese Movies (Including Killers Of The Flower Moon)	Along with his talent, Martin Scorsese is known for his epic narratives that run past the standard 90 minutes. But which of his films are the longest?	https://screenrant.com/martin-scorsese-movies-longest-runtimes/	2023-11-11T22:30:15Z	Summary <ul><li> Martin Scorsese's ability to make longer films comes from years of success and a strong reputation, allowing him the creative freedom to explore bigger narratives. </li><li> Scorses… [+8731 chars]	Juan	KOTFM	NR	Michael	KOTFM	Plot	Length of movie is related to script length		KOTFM	Plot	KOTFM	Plot
Cartoon Brew	The Crew Of ‘Trolls Band Together’ On How To Set Up A Collaborative And Creative Production	'Trolls Band Together' is a jam-packed aural and visual experience that incorporated the input of artists throughout the studio.	https://www.cartoonbrew.com/feature-film/dreamworks-trolls-band-together-inbtwn-animation-235177.html	2023-11-29T23:06:47Z	Dreamworks Animation third feature-length entry in the Trolls franchise, Trolls Band Together, is tearing it up at the box office with a mix of high-energy pop music, candy-coated visuals, and boiste… [+2789 chars]	Juan	Trolls	Prod	Michael	Trolls	Prod					Trolls	Prod
Biztoc.com	‘Trolls Band Together’ Review: Justin Timberlake Sends Up His Boy-Band Past In A Cute Psychedelic Pop Satire	Wanna feel old? The Trolls franchise is seven this year and brings with it a whole culture of nostalgia for the late ’90s and early ’00s that to anyone under 40 will seem like a million years ago. The rest of us might remember it as yesterday; a moment in tim…	https://biztoc.com/x/61ce202aede9e35a	2023-11-17T19:04:53Z	Wanna feel old? The Trolls franchise is seven this year and brings with it a whole culture of nostalgia for the late 90s and early 00s that to anyone under 40 will seem like a million years ago. The … [+302 chars]	Juan	Trolls	Plot	Michael	Trolls	Plot					Trolls	Plot
HuffPost	Leonardo DiCaprio Reveals He Wants To Accomplish 'One More' Thing Before Turning 50	The “Killers of the Flower Moon” star spoke about his goal during an interview with “Good Morning America.”	https://www.huffpost.com/entry/leonardo-dicaprio-one-more-thing-before-turning-50_n_655d2d66e4b0c91d8278f3e2	2023-11-22T01:26:05Z	Leonardo DiCaprio has already accomplished quite a lot since his Hollywood career began in the late 1980s, but the actor is opening up about one more thing he wants to do before he turns 50 next year… [+3604 chars]	Juan	NR		Michael	KOTFM	NR			KOTFM	NR	KOTFM	NR
Screen Rant	Five Nights at Freddy's Got The Same Divisive Response As Another 17-Year-Old Game Adaptation	Five Nights at Freddy's has received mixed reviews, and this response is similar to what another 17-year-old horror video game adaptation faced.	https://screenrant.com/five-nights-freddys-divisive-response-silent-hill/	2023-11-13T18:50:13Z	Summary <ul><li>Five Nights at Freddy's has received mixed reviews from audiences and critics, similar to another video game adaptation from 2006. </li><li> The film appeals to passionate fans of th… [+5309 chars]	Juan	FNAF	Plot	Michael	FNAF	Plot					FNAF	Plot
